iter	RMSE
0	360.0569991
1	331.70779
2	309.1518275
3	294.2751572
4	281.9033503
5	273.9188249
6	267.513184
7	262.5233002
8	259.3227907
9	256.4536633
10	253.0506295
11	251.0143973
12	248.981126
13	246.2489287
14	244.7209215
15	243.7237012
16	242.9094837
17	242.3812241
18	242.0234356
19	241.3089251
20	240.7043818
21	239.6719752
22	239.029799
23	238.1818555
24	237.6811734
25	236.8834539
26	235.968981
27	235.6584166
28	235.3915181
29	234.5713525
30	234.3676276
31	233.9066491
32	233.5485217
33	232.1276818
34	231.5246162
35	231.0718986
36	230.5173634
37	230.1315692
38	229.713646
39	228.9736925
40	228.4575967
41	227.7219039
42	227.1178718
43	226.5023777
44	226.3127494
45	225.8282838
46	225.5264905
47	225.2149596
48	224.8280362
49	224.4084114
50	224.1563694
51	223.9980863
52	223.1590383
53	223.012446
54	222.3583032
55	221.8467497
56	221.1419243
57	220.7755266
58	220.2886668
59	219.9055168
60	219.56541
61	219.4082145
62	218.821858
63	218.4777795
64	218.1526647
65	217.8551826
66	216.9670629
67	216.7408052
68	216.4948956
69	216.05419
70	215.9040048
71	215.6270981
72	215.3510518
73	215.0728354
74	214.6097754
75	214.2382399
76	213.8875446
77	213.6172976
78	213.4960609
79	212.9538462
80	212.8751267
81	212.6000815
82	212.3841994
83	212.1561566
84	211.8134257
85	211.5269262
86	211.4179686
87	211.3109935
88	210.8636833
89	210.5882104
90	210.216075
91	209.7975319
92	209.5272429
93	208.9111042
94	208.3679275
95	208.2206043
96	207.9988942
97	207.5195735
98	207.318905
99	207.1617062
100	206.8331742
101	206.6271656
102	206.4970195
103	206.2004578
104	205.8265303
105	205.6803726
106	205.5493616
107	205.3044355
108	205.0111299
109	204.7346112
110	204.5025975
111	204.3611256
112	204.0729961
113	203.9000085
114	203.6721384
115	203.4824444
116	203.0776672
117	202.9347114
118	202.6806258
119	202.4831105
120	202.2373526
121	201.805917
122	201.69333
123	201.5634554
124	201.2760697
125	201.1583971
126	200.9197568
127	200.8372268
128	200.7086403
129	200.5573739
130	200.3141679
131	199.9776579
132	199.7591438
133	199.5854737
134	199.4852144
135	199.3128551
136	199.2084684
137	199.1037611
138	198.909678
139	198.6933586
140	198.486586
141	198.4307849
142	197.8947901
143	197.7707364
144	197.7039917
145	197.5702827
146	197.3207644
147	196.9449077
148	196.6418728
149	196.4891851
150	196.2901608
151	195.9583915
152	195.8884066
153	195.7741343
154	195.6811145
155	195.4313585
156	195.3140497
157	195.2111131
158	195.1316695
159	195.09318
160	194.9594182
161	194.8822018
162	194.5190475
163	194.2663469
164	194.1211409
165	194.0393099
166	193.9380038
167	193.9089623
168	193.4372815
169	193.1588278
170	192.8455628
171	192.5234851
172	192.291422
173	192.209164
174	192.1338682
175	192.0003128
176	191.9521165
177	191.836169
178	191.6322463
179	191.5274144
180	191.3021102
181	191.2313855
182	191.1469802
183	191.0150834
184	190.9023456
185	190.817953
186	190.7696777
187	190.6082492
188	190.4984863
189	190.3532992
190	190.250284
191	190.0474695
192	189.9969996
193	189.9328382
194	189.679216
195	189.5947939
196	189.383385
197	189.1340857
198	189.0730448
199	188.8844378
200	188.7034823
201	188.4705249
202	188.404194
203	188.3454878
204	188.2771099
205	188.1905424
206	187.981064
207	187.9026298
208	187.7655786
209	187.6279208
210	187.378262
211	187.2995651
212	187.0596072
213	187.0545071
214	186.7886261
215	186.6256754
216	186.545545
217	186.3380769
218	186.0185218
219	185.9096685
220	185.7524533
221	185.6689085
222	185.6425004
223	185.5134691
224	185.3090531
225	185.2167098
226	185.1122974
227	184.9114059
228	184.6749439
229	184.5838348
230	184.2387136
231	184.1973303
232	184.0046395
233	183.87363
234	183.7300016
235	183.6780621
236	183.586706
237	183.5076992
238	183.2651446
239	183.0816434
240	182.9896574
241	182.9706284
242	182.9091762
243	182.6881613
244	182.5473102
245	182.4348756
246	182.3576653
247	182.0123287
248	181.8568523
249	181.8144078
250	181.8128736
