iter	Passed	Remaining
0	5	53499
1	9	46402
2	13	43699
3	16	42439
4	20	40347
5	22	38235
6	25	36784
7	28	35558
8	31	34921
9	34	34356
10	37	33910
11	40	33412
12	42	32995
13	45	32524
14	48	32307
15	51	31973
16	53	31666
17	56	31425
18	59	31161
19	61	30927
20	64	30841
21	67	30675
22	70	30548
23	73	30422
24	75	30297
25	78	30229
26	81	30217
27	84	30203
28	87	30151
29	90	30078
30	93	29947
31	96	29931
32	98	29893
33	101	29835
34	104	29793
35	107	29715
36	110	29653
37	113	29690
38	116	29726
39	119	29695
40	121	29626
41	124	29612
42	127	29575
43	130	29557
44	133	29482
45	136	29455
46	138	29377
47	141	29311
48	144	29279
49	146	29226
50	149	29163
51	152	29091
52	154	29084
53	157	29061
54	160	29048
55	163	29022
56	166	28990
57	168	28942
58	171	28934
59	174	28916
60	177	28943
61	180	28923
62	183	28895
63	185	28860
64	188	28833
65	191	28811
66	194	28851
67	197	28844
68	200	28803
69	202	28756
70	205	28739
71	208	28724
72	211	28740
73	214	28708
74	216	28708
75	219	28686
76	222	28683
77	225	28680
78	228	28668
79	231	28645
80	233	28632
81	236	28614
82	239	28581
83	242	28576
84	244	28559
85	247	28545
86	250	28526
87	253	28529
88	256	28518
89	259	28554
90	262	28552
91	264	28537
92	267	28514
93	270	28499
94	272	28462
95	276	28475
96	278	28464
97	281	28451
98	284	28441
99	287	28432
100	289	28414
101	292	28426
102	295	28409
103	298	28394
104	301	28370
105	303	28348
106	306	28336
107	309	28362
108	312	28355
109	315	28336
110	317	28318
111	320	28297
112	323	28289
113	326	28310
114	329	28311
115	332	28298
116	334	28288
117	337	28273
118	340	28255
119	343	28241
120	345	28237
121	348	28228
122	351	28227
123	354	28206
124	357	28217
125	360	28211
126	362	28200
127	365	28187
128	368	28171
129	370	28147
130	373	28153
131	376	28145
132	379	28133
133	381	28116
134	384	28114
135	387	28112
136	390	28121
137	393	28110
138	396	28097
139	398	28082
140	401	28064
141	403	28046
142	406	28053
143	409	28061
144	412	28052
145	415	28047
146	418	28038
147	421	28032
148	423	28023
149	426	28010
150	429	28002
151	432	28002
152	434	27989
153	437	28001
154	441	28023
155	444	28025
156	447	28037
157	449	28025
158	452	28024
159	455	28035
160	458	28021
161	461	28007
162	463	27998
163	466	27978
164	469	27983
165	472	27995
166	475	27992
167	478	27986
168	480	27976
169	483	27964
170	486	27954
171	489	27955
172	491	27945
173	494	27940
174	497	27931
175	500	27910
176	502	27911
177	505	27898
178	508	27886
179	510	27872
180	513	27863
181	516	27857
182	519	27859
183	522	27876
184	525	27882
185	528	27871
186	530	27859
187	533	27851
188	536	27845
189	539	27831
190	541	27819
191	544	27807
192	547	27802
